Data,Ora,price,date,datetime
15/01/2018,2,35.15,2018-01-15,2018-01-15T02:00:00.000000+0100
15/01/2018,3,32.55,2018-01-15,2018-01-15T03:00:00.000000+0100
15/01/2018,4,32.78,2018-01-15,2018-01-15T04:00:00.000000+0100
15/01/2018,5,32.55,2018-01-15,2018-01-15T05:00:00.000000+0100
15/01/2018,6,36.1,2018-01-15,2018-01-15T06:00:00.000000+0100
15/01/2018,7,48.36,2018-01-15,2018-01-15T07:00:00.000000+0100
15/01/2018,8,54.19,2018-01-15,2018-01-15T08:00:00.000000+0100
15/01/2018,9,61.35,2018-01-15,2018-01-15T09:00:00.000000+0100
15/01/2018,10,56.0,2018-01-15,2018-01-15T10:00:00.000000+0100
15/01/2018,11,54.59,2018-01-15,2018-01-15T11:00:00.000000+0100
15/01/2018,12,53.77,2018-01-15,2018-01-15T12:00:00.000000+0100
15/01/2018,13,51.65,2018-01-15,2018-01-15T13:00:00.000000+0100
15/01/2018,14,51.4,2018-01-15,2018-01-15T14:00:00.000000+0100
15/01/2018,15,53.77,2018-01-15,2018-01-15T15:00:00.000000+0100
15/01/2018,16,56.33,2018-01-15,2018-01-15T16:00:00.000000+0100
15/01/2018,17,61.35,2018-01-15,2018-01-15T17:00:00.000000+0100
15/01/2018,18,65.0,2018-01-15,2018-01-15T18:00:00.000000+0100
15/01/2018,19,60.0,2018-01-15,2018-01-15T19:00:00.000000+0100
15/01/2018,20,56.69,2018-01-15,2018-01-15T20:00:00.000000+0100
15/01/2018,21,54.0,2018-01-15,2018-01-15T21:00:00.000000+0100
